PC,Eigenvalue,Variance_Explained,Cumulative_Variance,Top_Variables
PC1,6.331912084698255,0.5756283713362049,0.5756283713362049,"GDP_亿元, 数字经济核心产业增加值_亿元, 研发经费投入_亿元"
PC2,1.6168672797478585,0.1469879345225326,0.7226163058587375,"5G基站数量, 发明专利授权量, 数据中心数量"
PC3,1.2014106575960715,0.10921915069055195,0.8318354565492895,"数据中心数量, 跨境数据传输总量_TB, 算力规模_PFLOPS"
